"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL","V","Ka","RSV","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","seCL","seV","seKa","seRSV","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8"
293,1,1,1,1,1,0,0,0,0,0,1,0,2.1,NA,FOCE_I,0:02:00,46.8,14.1,4587.91676735918,1.44944,4.27775,0.0221708,0.189394,0.0832237,0.0798002,0.0646133,1,0.031646,0.034291,0.0936817,0.00747887,0.0129851,0.014592,0.0502802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,1,1,1,1,1,0,0,0,0,0,1,0,2.6,NA,FOCE_I,0:01:00,51.11,12.21,4721.16507643345,1.40948,4.23946,0.0451612,0.215218,0.0932304,0.084442,6.48512e-010,1,0.0339969,0.037567,0.0858135,0.00843834,0.0149066,0.0185222,9.94789e-010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,1,1,1,1,1,0,0,0,0,0,0,0,2.5,NA,FOCE_I,0:01:00,39.71,15.39,4600.20313374888,1.4211,4.2669,-0.0989766,0.186435,0.0751154,0.0905278,0.0899968,1,0.0309097,0.0362054,0.0950772,0.00931086,0.0136703,0.0159674,0.0749953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,57.89,14.3,4642.18252483345,1.41172,4.22376,-0.0358622,0.192006,0.0859514,0.0587141,0.0679626,1,0.0329357,0.0328516,0.084246,0.00924752,0.0156686,0.0125898,0.0690245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,37.51,10.81,4671.67055238176,1.42844,4.20098,-0.095206,0.210012,0.0917948,0.0965455,0.012668,1,0.0332517,0.0396837,0.080002,0.0106082,0.0187107,0.0195542,0.0922726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,1,1,1,1,1,0,0,0,0,0,0,0,2.2,NA,FOCE_I,0:01:00,28.02,8.78,4583.98986679737,1.4244,4.20953,-0.257323,0.181145,0.0920593,0.0735952,0.0593355,1,0.0323121,0.0347811,0.0792859,0.00730466,0.015,0.0122598,0.045762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,1,1,1,1,1,0,0,0,0,0,0,0,2.4,NA,FOCE_I,0:01:00,39.83,13.71,4676.70818163309,1.37242,4.22761,-0.113278,0.198059,0.079181,0.0963471,0.0196984,1,0.0324432,0.038407,0.0916094,0.00784516,0.012028,0.0189428,0.0504115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,1,1,1,1,1,0,0,0,0,0,0,0,2.1,NA,FOCE_I,0:01:00,37.89,12.31,4662.01426498239,1.40136,4.27937,-0.000702158,0.191609,0.101318,0.098716,0.177586,1,0.0360022,0.0409034,0.130502,0.0086385,0.0207562,0.0207752,0.0543073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,1,1,1,1,1,0,0,0,0,0,1,0,2.3,NA,FOCE_I,0:02:00,42.74,14.12,4713.43691673629,1.37599,4.19339,0.0713987,0.184618,0.119872,0.121872,0.116069,1,0.035941,0.0384422,0.0994624,0.00831622,0.0206218,0.0235659,0.0805311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,1,1,1,1,1,0,0,0,0,0,0,0,2,NA,FOCE_I,0:01:00,27.02,12.71,4563.14845823031,1.46194,4.22786,-0.0843595,0.187314,0.068949,0.0851693,0.0560847,1,0.0284441,0.0367741,0.0867038,0.00822375,0.0114269,0.0166663,0.0434096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
