rep,id,logV1,logQ,logV2,logVm,logKm
1,27,4.57676278791009,0.756130630803349,3.57500384599949,6.86915917981734,4.99635436706887
2,27,4.55511346052945,1.45251960854975,3.63020241164356,6.97305402520975,5.81584353882997
3,27,4.53456414313578,1.3375657197964,3.87816118938102,6.58553385482102,5.54702790048172
4,27,4.68243220453978,1.59946250206604,3.54714024210398,6.21644827244814,5.32204327690855
5,27,4.59766854853069,1.43409534740731,3.47127829869401,6.9089911550766,5.33485468633064
1,28,3.90290897438467,1.04379468367152,4.12711281799605,7.17770036210654,4.96027517434523
2,28,3.82572883127171,0.803488526178722,4.22437680214353,7.21068365099575,5.15611247380619
3,28,3.78560176055985,1.27583485697981,4.23616681434285,7.22827244164443,5.12475277901173
4,28,3.83174403915877,1.13562843289121,4.64025151443104,7.10988422142627,4.99089967771015
5,28,3.89753610623665,1.09632798073678,4.04075023125973,7.24950136863886,5.12674334778859
1,29,4.45115029634323,1.36401906105428,3.87903783290246,6.55339753424788,5.13503619368962
2,29,4.48368815268303,1.46614671933257,4.01810493449014,6.53279242990957,5.67903001716762
3,29,4.50473457593971,0.972622510038903,4.00935807848481,6.61980917533509,6.02255499922349
4,29,4.4896456240852,1.30010466404861,3.95947632585231,6.42986614482149,5.18153407368675
5,29,4.44831436950575,1.12176436243898,3.84183565665938,6.79065015446492,6.03595445057835
1,30,4.35766968435955,1.59158089992143,3.6877017575257,6.77431021718859,5.51192517957007
2,30,4.37280012577717,1.25521187430232,4.1404055957848,6.80060512914144,6.1966686815887
3,30,4.31827546495914,1.68093712094775,3.83221893525195,6.68696038036646,5.40287285185163
4,30,4.3764505228643,1.01696453552038,3.80808443489054,6.75987019364743,5.53076252178339
5,30,4.27975880646961,1.58238068308065,3.97887367662656,6.71673480734746,5.42290943853613
1,31,4.05987025429847,1.1256840283716,3.67254628888441,7.16362358324598,5.97488150075242
2,31,4.04432398498928,2.00733258181145,3.54901890039933,6.90037082347088,5.57502901355812
3,31,4.06677042147124,1.2620635933101,3.67552043125398,6.94600597617383,5.64134773790421
4,31,4.1467332960303,1.3936498303368,3.59699583489579,6.96994224311674,5.72192801219749
5,31,4.05064283497013,1.1849072756565,3.59557256114342,7.09198074147946,5.88129184695861
1,32,3.94177287234536,0.989354448868834,3.73415584984373,7.19374031126994,5.88916220346937
2,32,3.93249216779134,1.1367527306437,4.04602641400437,6.97111364200482,6.07931199455536
3,32,3.86549582389335,1.45201501390414,4.02490618930709,7.07244778708697,5.53424928169313
4,32,3.99155624261468,1.11417845810965,4.19415411917821,6.58062200555479,5.55598258935524
5,32,3.87980443644397,1.47788298207108,4.0377437592504,6.9581698618793,5.36362329215957
1,33,4.26461819585235,1.89101235064207,3.92159427792124,6.929871191089,5.90008422962582
2,33,4.39085109909726,1.75239270581375,3.62127633220478,7.02440379356141,6.24115124853276
3,33,4.41897399345866,1.3722341745419,4.13430699074782,6.43161363462032,5.84025013408157
4,33,4.33313572745434,1.40580910669568,4.00976255764639,6.79298314524768,5.91320783738766
5,33,4.362144166004,1.64475053424457,4.06584405146246,6.65696546675924,5.50766576344889
1,34,4.60572229574833,1.65986312725668,4.35662019054044,6.80430302928674,5.61532169631
2,34,4.48490794729344,1.41003645661756,4.46655796650502,6.77853341059757,5.77890865849696
3,34,4.39721964891885,1.69600536604947,4.66939759668612,6.82331155358901,5.64779119819154
4,34,4.66840983680247,1.27309924063062,4.27074941888477,6.78712196247421,5.93048768994456
5,34,4.49482646582275,1.58086795904134,4.71912479890814,6.65787064511732,5.85746846795831
1,35,3.94910363759216,1.3374884339087,4.32527342827748,7.04712384001642,5.40373909640665
2,35,4.01359879980789,1.33587434027999,4.68412254726185,6.93376923069746,5.42181055615569
