rep,id,eta_logV1,eta_logQ,eta_logV2,eta_logVm,eta_logKm
2,31,-0.188370621595589,0.0848949318513551,-0.105508491140353,0.234432236206641,0.282368260679979
3,31,-0.220902047022049,0.486092442141137,-0.186390053584119,-0.0861719392181319,-0.0873581792586258
4,31,-0.162962544890119,-0.187306983298925,-0.487628705356907,0.03361853792265,0.126872958165694
5,31,-0.0271454017489112,0.0767128066474055,-0.578171702746223,0.276861552183806,0.389552570978755
1,32,-0.308422348257607,0.236408431444034,-0.0486965479896573,0.107127991015885,0.184437383155957
2,32,-0.347489189546072,-0.44178987768452,0.0373363545632983,-0.0118587446800039,0.285737227026173
3,32,-0.283821690260224,-0.278842504599784,-0.00802853994941188,-0.036319909413472,0.647464940299561
4,32,-0.391896997455203,0.291261307442108,-0.0443570634100091,0.0880646062037663,-0.0782451506522968
5,32,-0.381782534846558,-0.00497748772112558,0.317126536255173,-0.548055389459342,-0.284261458095698
1,33,0.00801844138430081,-0.0726314102433205,-0.292022665058662,-0.512552289393587,0.661795635141794
2,33,0.116248592037569,0.367174239361492,-0.291544483882023,-0.224758965772609,0.296536157114478
3,33,0.0699304353087684,0.432120561874079,-0.432857947516321,-0.168424224389097,0.401717769684183
4,33,0.0791223543002584,0.213772418373573,-0.22424836228788,-0.310071043260397,0.388986664623972
5,33,0.0983069668855374,-0.0305115644324362,-0.0494677455598929,-0.519932116731805,-0.122653900954987
1,34,0.29868503347877,-0.00580900289043421,0.468229486457219,0.0591915784684159,0.565460994106557
2,34,0.383149068867956,0.368843071534902,0.267184459719587,-0.286879447112,-0.0489434152300219
3,34,0.236937424646776,0.146320927969646,0.216578393080437,-0.173955013711852,-0.173804350592093
4,34,0.21821314135844,0.381908482040745,0.416673627450916,-0.205639954689324,-0.115629130220295
5,34,0.34508527031717,-0.086568266300229,0.388008059831342,-0.48157715860529,0.145549623533725
1,35,-0.191527492941793,0.208019213282857,0.271955003126369,-0.180535894747586,-0.619536741490079
2,35,-0.316622179700649,-0.034199563964109,0.293078617118854,0.439797285322354,0.388203375203634
3,35,-0.209968745512882,-0.238292701650884,0.110496509278734,0.207570550841994,0.133418305680844
4,35,-0.273373794518977,-0.123113771437968,0.669759456600893,0.0761787281107747,-0.0825645310396045
5,35,-0.160802461288392,-0.0113188873921681,0.218487404606341,-0.24516715985639,-0.571765097817697
1,36,0.0811048320542294,0.189560653944521,-0.281384437551762,-0.112769973045009,-0.458296451245365
2,36,0.0221486846855743,0.226448395683119,-0.402350640679926,0.136510091621195,-0.0503998895390233
3,36,0.144810051719316,0.259486920046711,-0.515732670015973,0.340478865343529,0.166064547688715
4,36,0.146433316437273,-0.485699093074498,-0.157948314920899,0.248765154692287,0.231950811489211
5,36,-0.00419513259003748,0.0377212196113329,0.143187758449535,0.226021891851895,0.0911352419553813
1,37,0.315301176688103,-0.412440516565402,0.274802510427482,0.315821001556053,-0.292261375366079
2,37,0.266830058551974,0.147340426099835,-0.0131870745262248,0.634285028302688,-0.159446841407408
3,37,0.285289119811699,-0.261290626806864,0.138186319841994,0.593115283051949,0.111175196966847
4,37,0.224595149240953,0.175327848512044,-0.0838857247701624,0.618149700686283,-0.245920595125217
5,37,0.263969006781884,0.671241668071603,0.0552659350499566,0.703049143027435,0.0875052161968372
1,38,-0.533599307075474,-0.190314791566481,-0.115952481617214,-0.0581953249184789,-0.0190367995386325
2,38,-0.500134225274739,-0.197678806236638,-0.289871969860884,0.186655526442556,0.291221971218138
3,38,-0.462116706002043,0.144004059764828,-0.345407694873334,0.198810886085954,0.327798606562399
4,38,-0.546619799929577,0.118643114855502,-0.236430101416803,-0.161462490326731,-0.136862974921225
5,38,-0.462456968246998,0.428500238818413,-0.359197299908585,-0.0826742176701185,-0.0808477392893326
1,39,-0.101818677604457,-0.221064321625336,-0.128980340472531,-0.451775222968742,0.202548813169902
2,39,-0.0587761726352623,0.485718510171278,0.172397264891351,-0.537626131522566,0.320794365192659
3,39,0.0173564663440964,-0.0693963315790012,0.196388728906911,-0.522102176096016,0.310972459905994
