rep,id,eta_logV,eta_logVm,eta_logKm
3,31,-0.292089188580958,0.020539655587462,-0.168407885241233
4,31,-0.219164922256257,0.0142530295331341,-0.314716950064948
5,31,-0.152495273545154,0.171826072058659,0.184251059734721
1,32,-0.102878216025521,0.486376226969944,-0.278137173588569
2,32,-0.0788057750291603,0.37044081118559,-0.549532202175462
3,32,-0.0839751409651598,0.4016680103772,-0.473838966677504
4,32,-0.151352769520216,0.546983059373206,-0.146122634579024
5,32,-0.0790233255578478,0.566632544733374,-0.139970060904296
1,33,0.421806165715703,-0.592459698257305,-0.323631550880074
2,33,0.359141285500924,-0.314775577754262,-0.226744212622418
3,33,0.34263459141735,-0.217587960313819,-0.297634171064059
4,33,0.335164985470766,-0.0414977058392651,0.283894906531982
5,33,0.347448896742845,-0.0856297631906669,0.18396992871476
1,34,0.749854971855539,0.232394022318312,-0.206263971404567
2,34,0.674568447532386,0.215209075629906,-0.241959428979898
3,34,0.681090401483995,0.330836302068201,-0.206415206452704
4,34,0.732978102451052,0.071434049380193,-0.193655479466426
5,34,0.715391129660859,0.390389037625881,0.17872351774807
1,35,0.00397105403041523,0.387900771161713,0.14711319647022
2,35,-0.0153269414291458,0.331997729356659,0.129115028901844
3,35,0.121731305800381,0.499558098811638,0.201896499584201
4,35,0.0551184397024693,0.190463345026726,-0.0859054587546201
5,35,0.0279750192208154,0.268798626237331,0.0285192730133464
1,36,0.127902135692885,-0.222001868435411,0.814936277269583
2,36,0.0845662604816561,-0.864983618129391,-0.0148242902950488
3,36,0.0514745728589008,-0.513205311154951,0.230395712139952
4,36,0.0296419470430541,-0.164162093916099,0.441226139923854
5,36,0.0491490864846379,-0.295828899779538,0.399722338280421
1,37,0.164935870176427,0.359682267475273,0.0861094815281244
2,37,0.0832106807553639,0.213022649549627,0.0185771799375647
3,37,0.0954172775896859,0.186387796199485,0.0285941208671984
4,37,0.0219588685112966,0.278761642596316,0.0474340313576237
5,37,0.178376833528311,0.111225997157285,-0.188850894639578
1,38,-0.127235145344439,0.220111120174139,-0.174737769705339
2,38,0.0329171568467327,0.159128818252141,-0.326124216651849
3,38,-0.039611304013944,0.226856356290743,-0.230231406624295
4,38,-0.163179437855272,0.140474631915032,-0.311621255974926
5,38,-0.0193193755497237,0.158908076606695,-0.339090053664325
1,39,-0.489131032332467,0.295933221422964,-0.436924852382011
2,39,-0.365238806514947,0.273560737238404,-0.571118032705506
3,39,-0.457849424646442,0.25715763732825,-0.551380060361007
4,39,-0.408790077450243,0.28355885372574,-0.531159047739966
5,39,-0.500939187096154,0.29778521489644,-0.444402186040849
1,40,-0.0174900689429569,0.382211779712278,0.103104869505553
2,40,0.00203223651136468,0.502777815707418,0.232854767271375
3,40,-0.0155873862010847,0.435255125011999,0.173601720273395
4,40,-0.0660702869399693,0.394306760960623,0.13322085230654
5,40,0.0170629356670973,0.475079683119242,0.252796476321731
1,41,0.0679500148085865,0.16751959257442,0.267698962264417
2,41,0.0129801824623189,-0.0188312249457723,0.102419066858245
